Project ID,Project Title,Funding Type,Funding Amount,USGS Science Priororties,WRRI Science Priority,Focus Category 1,Focus Category 2,Focus Category 3,Project PIs,PI Affiliated Organization,Total Students Supported with WRRA $,Undergraduates Supported by WRRA $,Masters Students Supported by WRRA $,PhD Students Supported by WRRA $,Postdocs Supported by WRRA $,Students Supported by Non-Federal (Matching) Funds,"Diversity, Equity, Inclusion, Accessibility, and Justice",Sorted ID,Unsorted ID
IL-2022_Sankaran,A hybrid plasma-electrocatalyst activated process for the synthesis of ammonia from air and water,Base Grant (104b),"$10,000",Energy,Water Technology and innovation,agriculture,atmospheric deposition,conservation,Dr. R. Mohan Sankaran,University of Illinois at Urbana-Champaign,2,1,0,1,0,2,2,1,9
IL-2022_Lampert_B,Analyzing nutrient sources in the production of harmful algal blooms in Long Lake and reducing energy use for wastewater nutrient removal using machine learning,Base Grant (104b),"$20,000",HABs; Water Challenges,Water Quality,surface water,wastewater,phosphorus,Dr. David Lampert,Illinois Institute of Technology,3,1,0,2,0,0,2 women students,2,7
IL_2021_Stillwell,Assessing the Feasibility of Non-Potable Water Reuse in Illinois,Base Grant (104b),"$10,000",Energy,Water Scarcity and Availability,WATER SUPPLY,"LAW, INSTITUTIONS, AND POLICY",MANAGEMENT AND PLANNING,Ashlynn Stillwell,,2,1,1,0,0,0,NA,3,1
IL_2023_Li,Assessing the Vulnerability of Public Water Systems to Droughts with an Integrated Remote Sensing and Social Sensing Approach,Base Grant (104b),"$15,000",Water Challenges; Natural Hazards,Water Scarcity and Availability,water supply,drought,hydrology,Ruopu Li,Southern Illinois University,1,0,1,0,0,1,1,5,35
IL_2022_Corush,Causes and Consequences of Mollusk Invasions Throughout the Illinois River Watershed,104g - AIS,"$300,000",Oceans/Coastal/Great Lakes,Watershed Function,aquatic invasive species,ecology,conservation,Joel Corush,University of Illinois Urbana-Champaign,2,0,0,1,1,0,,8,43
IL_2021_Lampert,Containment of Per- and Polyfluoroalkyl Substances to Protect Surface Water,Base Grant (104b),"$10,000",Water Challenges,Water Quality,TOXIC SUBSTANCES,SOLUTE TRANSPORT,GROUNDWATER,David Lampert,,2,0,1,1,0,0,NA,9,5
IL_2024_Park,Conversion of Per- and Polyfluoroalkyl Substances (PFAS) to Valuable Chemicals via Electrochemical Destruction Process,Base Grant (104b),"$15,000",Water Challenges,Water-Related Hazards and Climate Variability,PFAs,surface water,methods,Jung Hyun Park,Illinois Sustainable Technology Center,2,1,1,0,0,0,,10,37
IL_2023_Su,Development of next-generation electrochemical systems for short-chain PFAS removal and remediation.,Base Grant (104b),"$15,000",Water Challenges; STEM,Water Quality,PFAs,surface water,PFAs,Xiao Su,University of Illinois at Urbana-Champaign,1,0,0,1,0,1,3,12,21
IL-2022_Lin_CF,Development of Testing of a Subsurface Energy Transport Package for MODFLOW,Coordination Grant,"$200,000",Climate; Energy,Water Technology and innovation,models,groundwater,methods,Yu-Feng Lin,University of Illinois at Urbana-Champaign,1,0,0,1,0,0,1,14,29
IL_2021_Kim,"Efficacious, recyclable, and low-cost inorganic adsorbent to remove harmful PFAs compounds in aqueous matrics",Base Grant (104b),"$10,000",Water Challenges; STEM,Water Technology and innovation,TOXIC SUBSTANCES,TREATMENT,WATER QUALITY,Jaemin Kim,,1,0,1,0,0,0,NA,15,2
IL_2021_Tinoco,Enemy of My Enemy?: Ecohydraulic Assessment of Interactions of Multiple Invasive Species in the Upper Mississippi River Basin,104g - AIS,"$238,013",Oceans/Coastal/Great Lakes,Watershed Function,aquatic invasive species,surface water,hydrology,"Tinoco Lopez, Rafael Omar",University of Illinois at Urbana-Champaign,5,1,0,4,0,0,,18,41
IL_2024_Li,Enhancing Field-scale Drainage Mapping Through Geospatial Artificial Intelligence,Base Grant (104b),"$15,000",Water Challenges,Water Technology and innovation,surface water,models,hydrology,Ruopu Li,Southern Illinois University,1,0,1,0,0,1,,19,39
IL-2022_Rhoads,Evaluating Sources of Fine Sediment to Headwater Streams in Intensively Managed Agricultural Landscapes of Illinois,Base Grant (104b),"$9,700",Water Challenges; STEM,Water Quality,sediments,surface water,geochemical processes,Dr. Bruce Rhoads,University of Illinois at Urbana-Champaign,3,1,0,2,0,0,"3 - one from underrepresented group, one international",20,8
IL_2023_Prada,Fast and Energy-Efficient Destruction of PFAS Compounds with Piezoelectric Formulations on Aqueous Sorbents (FEED-PFAS),Base Grant (104b),"$14,998",Water Challenges,Water Quality,PFAs,methods,treatment,Andres Prada,University of Illinois Urbana-Champaign,3,3,0,0,0,0,,22,33
IL_2021_Rhoads,"Floodplain morphology, floodplain inundation, and riparian ecology in the context of the changing hydrology of rivers in Illinois",Base Grant (104b),"$9,500",Natural Hazards,Water-Related Hazards and Climate Variability,GEOMORPOLOGICAL PROCESSES,FLOODS,HYDROLOGY,Bruce Rhoads,,1,0,0,1,0,0,NA,23,3
IL_2022_Parkos,Habitat Selection of Juvenile Black Carp and Associated Predatory Effects on Native and Non-native Bivalves,104g - AIS,"$122,318",Other,Water Quality,aquatic invasive species,ecology,models,Joseph J. Parkos III,University of Illinois at Urbana-Champaign,1,0,1,0,0,0,1,26,44
IL_2023_Taylor,"Land Use Impacts on Environmental Quality and Aquatic Biodiversity in the Vermillion River Drainage, Illinois",Base Grant (104b),"$15,141",Water Challenges; STEM,Water Quality,aquatic invasive species,ecology,conservation,Caitlin Bloomer,University of Illinois Urbana-Champaign,2,0,1,1,0,0,,28,32
IL-2022_Cáceres,Measuring the effect of flood pulses on ecosystem function in lakes created by mining (Kickapoo State Recreation Area),Base Grant (104b),"$10,000",STEM,Water Quality,nonpoint pollution,ecology,surface water,Dr. Carla Cáceres,University of Illinois at Urbana-Champaign,1,0,0,1,0,0,3,29,10
IL_2022_Lampert_G,PFAS Transport from Contaminated Areas to Surface Waters,104g - PFAS,"$250,000",Water Challenges,Water Quality,PFAs,solute transport,sediments,David Lampert,Illinois Institute of Technology,6,2,1,3,0,0,,32,42
IL_2022_Tartakovsky,Physics-Informed Machine Learning for Parameter Estimation and Surrogate Modeling,Coordination Grant,"$200,000",Other; Other,Water Scarcity and Availability,groundwater,methods,models,Alex Tartakovsky,University of Illinois Urbana-Champaign,2,0,0,2,0,0,,35,40
IL_2024_Stillwell,Quantifying Virtual Water Transfers from Hydropower Generation under Climate Variability,Base Grant (104b),"$15,000",Energy; Water Challenges,"Water Policy, Planning, and Socioeconomics",management and planning,models,drought,Ashlynn Stillwell,University of Illinois Urbana-Champaign,1,0,0,1,0,1,,36,36
IL_2021_Meyer,Regenerative Agriculture and the Human Health Nexus in the age of Climate Change,Base Grant (104b),"$5,000",Climate,Water-Related Hazards and Climate Variability,AGRICULTURE,EDUCATION,METHODS,Erin Meyer,,0,0,0,0,0,0,NA,37,6
IL_2021_Wang,Triboelectric devices for water motion energy harvesting and self-powered sensing,Base Grant (104b),"$9,999",Energy,Water Quality,WATER QUALITY,,,Yi-Cheng Wang,,3,0,2,1,0,0,NA,39,4
IL_2024_Sloan,Using Continuous Water Quality Monitoring Combined with Stratified Sampling to Assess the Presence of Emerging Contaminants in the Upper Illinois River,Base Grant (104b),"$15,000",Other,Water Quality,PFAs,surface water,wetlands,John J Sloan,National Great Rivers Research & Education Center,0,0,0,0,0,0,,40,38
2020IL103AIS,Water Quality as a Deterrent to the Movement of Invasive Fishes in the Illinois Waterway: Implications for the Upper Mississippi Basin,104g - AIS,"$240,624",Other; Other,Watershed Function,aquatic invasive species,wastewater,ecology,Cory Suski,University of Illinois Urbana-Champaign,3,2,1,0,0,1,,43,45
